Name,RA (2000) ,DEC (2000) ,Object Type ,RA (deg),Dec (deg)
V1944 Sgr ,18:00:36.90,-27:17:12.00,n ,270.15374999999995,-27.286944444444448
V2493 Sgr ,18:00:40.93,-29:00:12.80,non-cv ,270.1705833333333,-29.0035
Sgr ,18:00:51.55,-29:56:52.00,ugsu ,11.074999999999998,42.3
V551 Sgr ,18:00:56.50,-34:35:45.00,ugsu ,270.23531166666663,-34.595983333333336
Sgr ,18:01:00.00,-28:24:18.20,ug ,11.074999999999998,42.3
Sgr ,18:01:14.89,-28:36:24.00,ug ,11.074999999999998,42.3
Sgr ,18:01:15.62,-27:27:47.20,ug ,11.074999999999998,42.3
Sgr ,18:01:20.13,-28:25:57.30,ug ,11.074999999999998,42.3
KY Sgr ,18:01:20.90,-26:24:40.90,na ,270.3375954166666,-26.411123333333332
Sgr ,18:01:32.71,-28:52:23.90,ug ,11.074999999999998,42.3
Sgr ,18:01:35.45,-29:07:30.60,ugsu ,11.074999999999998,42.3
V1174 Sgr ,01:37.00,-28:44:26.00,n ,270.4041666666666,-28.74
V384 Sco ,18:01:43.15,-35:39:27.80,n ,270.4297916666666,-35.65772222222222
Sgr ,18:01:56.22,-27:22:55.20,n ,11.074999999999998,42.3
Sgr ,18:02:05.03,-28:18:33.30,ug ,11.074999999999998,42.3
V4742 Sgr ,18:02:21.86,-25:20:32.20,na ,270.5911083333333,-25.342265833333332
Sgr ,18:02:25.95,-29:39:40.60,cv ,11.074999999999998,42.3
V4027 Sgr ,18:02:29.21,-28:45:19.90,n ,270.62146291666664,-28.755860833333333
Sgr ,18:02:40.21,-29:19:20.10,cv ,11.074999999999998,42.3
Sgr ,18:02:51.70,-29:15:13.90,ug ,11.074999999999998,42.3
Sgr ,18:03:01.33,-28:01:45.10,cv ,11.074999999999998,42.3
V5099 Sgr ,18:03:06.09,-27:30:44.80,ugsu ,270.7750520833333,-27.51256
Sgr ,18:03:24.67,-28:17:23.50,ug ,11.074999999999998,42.3
V1431 Sgr ,18:03:29.61,-29:59:54.90,n ,270.8731145833333,-29.99857
AT Sgr ,18:03:30.87,-26:28:28.50,na ,270.878625,-26.47458333333333
V4579 Sgr ,18:03:37.84,-28:00:07.50,nb ,270.90789583333327,-28.002456666666667
Sgr ,18:03:57.15,-27:52:42.90,ug ,11.074999999999998,42.3
Sgr ,18:03:58.77,-28:47:39.30,ug ,11.074999999999998,42.3
V1502 Sgr ,18:04:22.86,-30:06:47.10,non-cv ,271.0952408333333,-30.113689722222222
Sgr ,18:04:34.47,-30:05:11.60,ug ,11.074999999999998,42.3
Sgr ,18:04:47.20,-27:07:48.30,ugsu ,11.074999999999998,42.3
Sgr ,18:04:51.67,-28:11:46.10,ug ,11.074999999999998,42.3
Sgr ,18:05:07.12,-27:43:09.10,ug ,11.074999999999998,42.3
Sgr ,18:05:08.58,-29:16:52.00,ug ,11.074999999999998,42.3
Sgr ,05:12.00,-29:54:23.00,n ,11.074999999999998,42.3
Sgr ,18:05:32.38,-28:50:57.20,ug ,11.074999999999998,42.3
Sgr ,18:05:34.36,-29:12:04.60,ugsu ,11.074999999999998,42.3
Sgr ,18:05:34.86,-28:30:04.70,ug ,11.074999999999998,42.3
V1572 Sgr ,05:37.00,-31:37:43.00,n ,271.4041666666666,-31.628333333333334
Sgr ,18:05:53.59,-28:03:29.80,cv ,11.074999999999998,42.3
Sgr ,18:06:11.57,-28:07:46.30,ug ,11.074999999999998,42.3
V1012 Sgr ,18:06:14.00,-31:44:26.90,na ,271.5583333333333,-31.740833333333335
V1014 Sgr ,18:06:45.70,-27:26:15.30,na ,271.6904166666667,-27.4375
V908 Sgr ,18:07:08.66,-28:44:52.30,999,271.7860833333333,-28.747861111111114
V737 Sgr ,18:07:08.72,-28:44:52.10,n ,271.7860833333333,-28.747861111111114
Sgr ,18:07:10.64,-26:57:06.60,ug ,11.074999999999998,42.3
Sgr ,18:07:17.88,-25:52:56.90,ug ,11.074999999999998,42.3
Sgr ,18:07:31.11,-22:05:33.10,non-cv ,11.074999999999998,42.3
Sgr ,18:07:32.11,-31:23:56.30,ug ,11.074999999999998,42.3
Sgr ,18:07:33.83,-29:00:37.80,cv ,11.074999999999998,42.3
V4444 Sgr ,18:07:36.22,-27:20:13.50,na/nr ,271.9008308333333,-27.337003888888887
Sgr ,18:07:36.95,-27:20:09.10,ug ,11.074999999999998,42.3
V927 Sgr ,18:07:42.70,-33:21:17.40,na ,271.92791666666665,-33.35472222222222
V617 Sgr ,18:07:50.89,-35:10:24.90,nlv ,271.96207166666665,-35.17364388888889
Sgr ,18:07:51.71,-25:53:55.50,ug ,11.074999999999998,42.3
V4121 Sgr ,18:07:54.77,-28:49:26.80,n ,271.9782083333333,-28.82411111111111
Sgr ,18:07:57.21,-27:33:28.80,ug ,11.074999999999998,42.3
Sgr ,18:07:57.61,-29:18:14.60,ug ,11.074999999999998,42.3
Sgr ,18:08:07.97,-26:13:14.40,ug ,11.074999999999998,42.3
Sgr ,18:08:13.35,-27:18:00.90,ug ,11.074999999999998,42.3
KY Ara ,18:08:21.98,-54:56:17.30,ug ,272.09149999999994,-54.938138888888886
